Cliente;Sexo;Idade;CartaoCredito;ChequeEspecial;Inadimplente;SaldoDevedor
1;0;20;1;0;1;20
2;0;23;0;0;0;NA
3;0;34;1;0;0;NA
4;0;28;0;1;1;40
5;0;19;0;1;0;NA
6;0;17;0;0;0;NA
7;0;26;0;1;0;NA
8;0;25;1;1;1;30
9;0;30;0;0;0;NA
10;0;25;1;0;0;NA
11;0;18;0;1;1;100
12;0;19;1;1;0;NA
13;0;35;0;0;0;NA
14;0;23;0;1;0;NA
15;0;19;1;1;1;200
16;1;34;0;0;1;200
17;1;37;0;1;1;100
18;1;27;0;1;0;NA
19;1;25;0;0;0;NA
20;1;32;1;1;0;NA
21;1;29;1;1;1;80
22;1;21;1;1;1;60
23;1;22;0;1;1;70
24;1;23;1;0;0;NA
25;1;29;1;0;0;NA
26;1;22;1;0;0;NA
27;1;24;0;1;0;NA
28;1;32;1;1;1;100
29;1;30;1;1;1;80
30;1;31;1;0;0;NA
